season,stateoc,agecat,osh,rcu,pi
2,GA,3,0,753,113
2,GA,3,1,1077,33
2,GA,4,0,2113,352
2,GA,4,1,3423,104
2,GA,5,0,6771,1449
2,GA,5,1,13665,838
2,HI,1,0,9,0
2,HI,1,1,2,1
2,HI,2,0,3,1
2,HI,2,1,3,0
2,HI,3,0,93,17
2,HI,3,1,110,8
2,HI,4,0,284,44
2,HI,4,1,321,9
2,HI,5,0,1309,339
2,HI,5,1,1982,228
2,IA,1,0,12,0
2,IA,1,1,11,3
2,IA,2,0,5,2
2,IA,2,1,10,1
2,IA,3,0,110,23
2,IA,3,1,257,24
2,IA,4,0,438,74
2,IA,4,1,884,38
2,IA,5,0,2757,610
2,IA,5,1,6421,589
2,ID,1,0,3,0
2,ID,1,1,5,0
2,ID,2,0,1,0
2,ID,2,1,5,1
2,ID,3,0,58,11
2,ID,3,1,112,5
2,ID,4,0,218,38
2,ID,4,1,353,14
2,ID,5,0,986,197
2,ID,5,1,2657,230
2,IL,1,0,63,8
2,IL,1,1,25,5
2,IL,2,0,33,6
2,IL,2,1,29,3
2,IL,3,0,621,123
2,IL,3,1,987,52
2,IL,4,0,2182,429
2,IL,4,1,3243,128
2,IL,5,0,10807,2493
2,IL,5,1,18996,1530
2,IN,1,0,53,13
2,IN,1,1,26,11
2,IN,2,0,23,9
2,IN,2,1,15,4
2,IN,3,0,479,99
2,IN,3,1,643,35
2,IN,4,0,1725,277
2,IN,4,1,2044,90
2,IN,5,0,6834,1470
2,IN,5,1,11759,1029
2,KS,1,0,9,0
2,KS,1,1,11,2
2,KS,2,0,2,0
2,KS,2,1,7,0
2,KS,3,0,152,23
2,KS,3,1,224,10
2,KS,4,0,471,85
2,KS,4,1,746,28
2,KS,5,0,2547,622
2,KS,5,1,4900,390
2,KY,1,0,21,2
2,KY,1,1,15,4
2,KY,2,0,8,1
2,KY,2,1,13,4
2,KY,3,0,355,76
2,KY,3,1,535,32
2,KY,4,0,1199,228
2,KY,4,1,1757,61
2,KY,5,0,5337,1330
2,KY,5,1,7506,567
2,LA,1,0,36,11
2,LA,1,1,34,9
2,LA,2,0,10,0
2,LA,2,1,20,3
2,LA,3,0,306,44
2,LA,3,1,603,26
