year,age,pop
2017,37,4394351
2017,38,4120468
2017,39,4038244
2017,40,3994423
2017,41,3875738
2017,42,3990700
2017,43,3863455
2017,44,3919057
2017,45,4091579
2017,46,4320583
2017,47,4370964
2017,48,4140010
2017,49,4050722
2017,50,4051078
2017,51,4121394
2017,52,4363205
2017,53,4437426
2017,54,4427991
2017,55,4413266
2017,56,4461346
2017,57,4493573
2017,58,4335891
2017,59,4303880
2017,60,4249921
2017,61,4091662
2017,62,4050159
2017,63,3875907
2017,64,3720053
2017,65,3567978
2017,66,3451069
2017,67,3361747
2017,68,3251249
2017,69,3204338
2017,70,3324662
2017,71,2443843
2017,72,2399286
2017,73,2321473
2017,74,2357801
2017,75,2039236
2017,76,1847158
2017,77,1729114
2017,78,1607240
2017,79,1518513
2017,80,1378494
2017,81,1293831
2017,82,1216640
2017,83,1068110
2017,84,1008215
2017,85+,6468682
